,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,mean_train_score,std_train_score
0,0.8283309671613905,0.0023108639395116397,0.004000955157809787,4.8703024945922e-07,10,8,8,50,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 50}",0.7928618115049975,0.772790466580318,0.7753561796088055,0.7685269514594315,0.7850003927715439,0.8023809963373132,0.8200856645044948,0.8181328513878489,0.7757554697586657,0.7900989759903799,0.018431854820439728,65,0.8042335017976242,0.8100627989802106,0.8054729759026346,0.8042127422668519,0.8018044093651923,0.8117839928205474,0.8115389827659928,0.8122846861750457,0.7840178711609547,0.8050457734705616,0.008295602007833462
1,1.6522259712219238,0.0029601230117865416,0.007557286156548394,0.0004968801840708857,10,8,8,100,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 100}",0.7905041362315605,0.7769096479404449,0.7781594697945863,0.7678207326670994,0.78506780452161,0.7991725644367564,0.8219079759799405,0.8142318996665692,0.7793072626432473,0.7903423882090905,0.017097028570720398,59,0.8012467892852438,0.8123031858656187,0.8072542393531739,0.8032120362355548,0.800458361117655,0.8086848687448485,0.8110411952351562,0.807199374794225,0.7877618605094958,0.804351323460108,0.007028560596389383
2,2.479219595591227,0.004399652839254218,0.010999865002102323,0.0004715997678155792,10,8,8,150,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 150}",0.7908732415718013,0.773893928647428,0.7794317053985051,0.7675097673560541,0.7864639606999597,0.8010590860039972,0.8216332268401796,0.8124269887421192,0.7835635688553215,0.7907617193461517,0.016840134007700375,56,0.8012262636404481,0.8108387414633734,0.8083616364994017,0.8029443092865453,0.8020804600119056,0.8111982683342862,0.8108706133327795,0.8049982439184096,0.791677575403551,0.8049106790989666,0.005987765242944796
3,0.8293367491828071,0.0016321316067012081,0.004000769721137153,5.040247596751438e-07,10,8,16,50,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 50}",0.7928618115049975,0.772790466580318,0.7753561796088055,0.7685269514594315,0.7850003927715439,0.8023809963373132,0.8200856645044948,0.8181328513878489,0.7757554697586657,0.7900989759903799,0.018431854820439728,65,0.8042335017976242,0.8100627989802106,0.8054729759026346,0.8042127422668519,0.8018044093651923,0.8117839928205474,0.8115389827659928,0.8122846861750457,0.7840178711609547,0.8050457734705616,0.008295602007833462
4,1.6514407528771295,0.001547913729056996,0.007334709167480469,0.0004715953244357558,10,8,16,100,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 100}",0.7905041362315605,0.7769096479404449,0.7781594697945863,0.7678207326670994,0.78506780452161,0.7991725644367564,0.8219079759799405,0.8142318996665692,0.7793072626432473,0.7903423882090905,0.017097028570720398,59,0.8012467892852438,0.8123031858656187,0.8072542393531739,0.8032120362355548,0.800458361117655,0.8086848687448485,0.8110411952351562,0.807199374794225,0.7877618605094958,0.804351323460108,0.007028560596389383
5,2.485206683476766,0.01242293913077181,0.011002620061238607,4.76837158203125e-07,10,8,16,150,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 150}",0.7908732415718013,0.773893928647428,0.7794317053985051,0.7675097673560541,0.7864639606999597,0.8010590860039972,0.8216332268401796,0.8124269887421192,0.7835635688553215,0.7907617193461517,0.016840134007700375,56,0.8012262636404481,0.8108387414633734,0.8083616364994017,0.8029443092865453,0.8020804600119056,0.8111982683342862,0.8108706133327795,0.8049982439184096,0.791677575403551,0.8049106790989666,0.005987765242944796
6,0.824741972817315,0.0022646605374738588,0.004223346710205078,0.00041583716477638547,10,8,20,50,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 50}",0.7929106862698501,0.7728027359993335,0.7755185313405577,0.7686479741644043,0.7850720607156586,0.8023496878915038,0.8202814599493489,0.8180555249882293,0.7757291167820122,0.7901519753445443,0.018421511701747748,64,0.803520703145965,0.8094239585152381,0.8048150847414307,0.8035502029341663,0.8011379768241909,0.8112250252583905,0.8109164079306249,0.8116579936586765,0.7833513848827705,0.804399859765717,0.008315419278112026
7,1.6507646242777507,0.002849000344175767,0.007446792390611436,0.0004979695882168026,10,8,20,100,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 100}",0.7905030294775717,0.7770033478942835,0.7782630961901638,0.7678217524164463,0.7852905228784322,0.7991278909070862,0.8220316278626951,0.8141427750365128,0.7792548250309557,0.7903820964104606,0.017085850952087575,58,0.8005910700173086,0.8116616320359168,0.8066332301792354,0.8025483441360393,0.7998014261188222,0.8080860950713451,0.8104224426955667,0.8065858295616889,0.7871429147015837,0.8037192205019452,0.007032250200105385
8,2.472611003451877,0.00702659408615723,0.010780202017890083,0.0004158301493259809,10,8,20,150,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 150}",0.790857482123655,0.7739827833460897,0.7794719654015316,0.7674921239263974,0.7866039404375256,0.8010086324973206,0.8218236492787876,0.8123498546747321,0.7834510793377212,0.7907823901137512,0.01685590408737711,55,0.8005411433609135,0.8101848435532188,0.8077123242843328,0.8022808939938832,0.8014162189930806,0.810614550522671,0.8102385323351264,0.8043591017365872,0.7910472457257398,0.8042660949450614,0.005995977200993099
9,0.823226531346639,0.006984617256422363,0.004000875684950087,0.0004714828316709895,10,12,8,50,"{'max_depth': 10, 'min_samples_leaf': 12, 'min_samples_split': 8, 'n_estimators': 50}",0.7924528542282931,0.7723926626410833,0.7748331684276801,0.767861369340122,0.7841303481402299,0.8020398852819073,0.819652805162213,0.8177757613491806,0.7752599581679599,0.7895998680820744,0.0185058785749867,70,0.8015279723696926,0.8070184524068711,0.8027246742638857,0.8011592328387886,0.7988622381867229,0.8089847181299423,0.8087054854609369,0.8094484979380518,0.7812869569849448,0.8021909142866485,0.008262480975022152
