,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,mean_train_score,std_train_score
0,1.0390122201707628,0.0028978919123345214,0.004890124003092448,0.0003142189641454004,10,8,8,50,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 50}",0.810899467128627,0.7867753656900686,0.8242692658176816,0.7951525298574001,0.7977820627824643,0.7758058688521181,0.809816591509881,0.8103865697673629,0.8254320239953306,0.8040355272667705,0.015638004333991956,61,0.825093259778602,0.8303329807311122,0.8265426817939703,0.8270872795831464,0.827659502412986,0.826083365330663,0.8284770290487888,0.82474705791996,0.8247546950149021,0.8267530946237923,0.0017634069286063452
1,2.088138076994154,0.005165058730375836,0.008668740590413412,0.0004714829060926334,10,8,8,100,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 100}",0.8106103135080027,0.7867638976235658,0.8251093504726605,0.7964053439968047,0.8001961990521311,0.7788839370249911,0.8127161736770607,0.8177999531864201,0.8293513043197542,0.8064262747623768,0.016143337832028586,58,0.8260919484080002,0.830802618904916,0.8269596979431513,0.8283221176581045,0.8276987021720779,0.82731423950954,0.831015797354905,0.8295551240855937,0.8259124538159012,0.8281858555391322,0.0017889408019463296
2,3.127595212724474,0.009305014045086954,0.012780719333224826,0.00041592929971652097,10,8,8,150,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 150}",0.8105691293879242,0.7878825872197739,0.8261575544532637,0.7968162410172668,0.8025774974459305,0.7789613263302929,0.8130343200059613,0.8178429729815316,0.8255957540857322,0.8066041536586308,0.015466938387477952,55,0.8259172040797937,0.831597705469959,0.8270932734016141,0.8288029746365483,0.8272942920246731,0.827170301784184,0.8311240766995824,0.8289591022961671,0.8246941166501138,0.828072560782515,0.0021472483507642523
3,1.0394570297665067,0.002615667700944008,0.004334343804253472,0.00047172646241706536,10,8,16,50,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 50}",0.810899467128627,0.7867753656900686,0.8242692658176816,0.7951525298574001,0.7977820627824643,0.7758058688521181,0.809816591509881,0.8103865697673629,0.8254320239953306,0.8040355272667705,0.015638004333991956,61,0.825093259778602,0.8303329807311122,0.8265426817939703,0.8270872795831464,0.827659502412986,0.826083365330663,0.8284770290487888,0.82474705791996,0.8247546950149021,0.8267530946237923,0.0017634069286063452
4,2.080581029256185,0.006888738576607309,0.009002129236857096,0.0004714830132597799,10,8,16,100,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 100}",0.8106103135080027,0.7867638976235658,0.8251093504726605,0.7964053439968047,0.8001961990521311,0.7788839370249911,0.8127161736770607,0.8177999531864201,0.8293513043197542,0.8064262747623768,0.016143337832028586,58,0.8260919484080002,0.830802618904916,0.8269596979431513,0.8283221176581045,0.8276987021720779,0.82731423950954,0.831015797354905,0.8295551240855937,0.8259124538159012,0.8281858555391322,0.0017889408019463296
5,3.12526101536221,0.011028686899381628,0.012669722239176432,0.00047142684093930674,10,8,16,150,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 150}",0.8105691293879242,0.7878825872197739,0.8261575544532637,0.7968162410172668,0.8025774974459305,0.7789613263302929,0.8130343200059613,0.8178429729815316,0.8255957540857322,0.8066041536586308,0.015466938387477952,55,0.8259172040797937,0.831597705469959,0.8270932734016141,0.8288029746365483,0.8272942920246731,0.827170301784184,0.8311240766995824,0.8289591022961671,0.8246941166501138,0.828072560782515,0.0021472483507642523
6,1.0373453034294977,0.004582315742603074,0.004889938566419814,0.000566885656648771,10,8,20,50,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 50}",0.8108756262121075,0.7865776806779236,0.824223743530286,0.7950449453762957,0.7975201166315298,0.7757250301698386,0.8096492629719624,0.8103115959348468,0.8256214191295141,0.8039499356260338,0.015708032913124635,63,0.8242513256788837,0.8290621100722124,0.825479063943944,0.82624136310793,0.826611847598565,0.8249151382184792,0.8275820574127062,0.8236235427168931,0.8238447951698857,0.8257345826577221,0.0017151818340261935
7,2.07513517803616,0.00908215856358642,0.009113338258531358,0.00031449051301655914,10,8,20,100,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 100}",0.8106002384709852,0.7863073413929038,0.8253170621756345,0.7962536669129258,0.7998183787046387,0.7785589780956629,0.8126362173549395,0.817680311918079,0.8293928407274217,0.8062850039725767,0.016313893332389865,60,0.8252297039776056,0.8295307658394412,0.8258392905791274,0.8274532283250512,0.8266473340130741,0.8263189987156452,0.8301990068621685,0.8285095884591943,0.8249828277527558,0.8271900827248959,0.001761811730943073
8,3.1154816150665283,0.007131783707757267,0.013002925448947482,0.0004715392294893716,10,8,20,150,"{'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 150}",0.8105597235876851,0.7874927845216146,0.8263783054113849,0.7966599779503308,0.8022986999096378,0.7784676022814874,0.8128744560923472,0.8177624332582135,0.8255313881781781,0.8064472634656533,0.015644806377103682,57,0.8250274902591996,0.8304676727669248,0.8260509921796027,0.8279131474696406,0.8262578108808383,0.8261055048562743,0.8302831448840629,0.8278917307141036,0.8236889076235574,0.827076266848245,0.002146992121383636
9,1.0276764233907063,0.0036857030680670193,0.004556602901882595,0.0004971406908152679,10,12,8,50,"{'max_depth': 10, 'min_samples_leaf': 12, 'min_samples_split': 8, 'n_estimators': 50}",0.808322657946635,0.7832478259393016,0.8222918670206201,0.7917816952641145,0.7928985857185318,0.759143472261198,0.8006679183299507,0.7994104248796867,0.8145560281414057,0.7969244972779381,0.017516972717759993,70,0.819391386262062,0.8219611454331119,0.8211170646073515,0.8220958483299651,0.8206484912102753,0.8170445609780219,0.8200858635955379,0.8166803953044594,0.816124718455169,0.8194610526862172,0.00217160599540653
